Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Price,Quantity,Total_Amount,Discount_Rate,Discount_Amount,Final_Amount,Sales_Channel,Payment_Method,Year,Month,Quarter
2022-12-24,CUST_5352,Budget,North America,Toronto,Beauty,Skincare,20.5,12,246.02,0.1,24.6,287.85,Phone,Digital Wallet,2022,12,4
2023-01-23,CUST_9136,Regular,North America,Vancouver,Beauty,Bath Products,113.66,8,909.29,0.1,90.93,818.36,Mobile App,Bank Transfer,2023,1,1
2024-07-09,CUST_6457,Regular,Australia,Adelaide,Books,Cookbook,24.95,10,249.53,0.1,24.95,247.03,Mobile App,Debit Card,2024,7,3
2023-04-27,CUST_2314,Regular,Australia,Sydney,Beauty,Perfume,62.34,2,124.68,0.0,0.0,124.68,In-Store,Credit Card,2023,4,2
2024-02-18,CUST_2458,VIP,North America,Los Angeles,Books,Cookbook,84.79,1,84.79,0.05,4.24,80.55,Phone,Bank Transfer,2024,2,1
2023-01-23,CUST_8837,Regular,Europe,London,Sports,Yoga Mat,199.32,4,797.28,0.1,79.73,717.55,In-Store,Credit Card,2023,1,1
2023-10-20,CUST_6397,VIP,Europe,Rome,Automotive,Electronics,873.04,2,1746.08,0.05,87.3,1658.78,Mobile App,Debit Card,2023,10,4
2024-05-17,CUST_5154,Budget,Europe,Rome,Home & Garden,Furniture,279.3,12,3351.59,0.1,335.16,3016.43,Phone,Bank Transfer,2024,5,2
2022-09-11,CUST_3002,Regular,Europe,Madrid,Clothing,Jeans,72.27,6,433.61,0.1,43.36,390.25,Phone,Debit Card,2022,9,3
2022-12-05,CUST_8069,VIP,Europe,London,Home & Garden,Kitchen Appliances,680.31,5,3401.55,0.15,510.23,3758.71,Mobile App,Credit Card,2022,12,4
2023-05-16,CUST_9109,Premium,Australia,Brisbane,Books,Children,33.98,4,135.9,0.1,13.59,122.31,Phone,Bank Transfer,2023,5,2
2022-06-11,CUST_5944,Regular,Europe,London,Toys,Puzzles,73.55,4,294.18,0.1,29.42,291.24,Mobile App,Debit Card,2022,6,2
2023-12-18,CUST_3305,Budget,North America,New York,Sports,Gym Equipment,114.55,3,343.64,0.1,34.36,402.06,Phone,Debit Card,2023,12,4
2022-04-13,CUST_8384,VIP,North America,Los Angeles,Books,Biography,67.32,3,201.97,0.15,30.29,171.67,Mobile App,Digital Wallet,2022,4,2
2023-01-17,CUST_8546,Premium,Europe,Rome,Books,Non-Fiction,39.42,4,157.66,0.1,15.77,141.9,Online,Bank Transfer,2023,1,1
2023-10-08,CUST_5466,Budget,Australia,Adelaide,Beauty,Skincare,32.03,15,480.45,0.1,48.04,432.4,Mobile App,Credit Card,2023,10,4
2022-05-04,CUST_8765,VIP,Asia,Singapore,Clothing,T-Shirt,320.63,5,1603.14,0.15,240.47,1362.67,Mobile App,Bank Transfer,2022,5,2
2023-01-31,CUST_2163,Premium,Europe,London,Beauty,Haircare,44.13,5,220.64,0.1,22.06,198.58,Phone,Bank Transfer,2023,1,1
2022-08-21,CUST_4442,VIP,Europe,Berlin,Sports,Tennis Racket,584.41,3,1753.23,0.15,262.98,1639.27,Mobile App,Bank Transfer,2022,8,3
2022-06-08,CUST_8504,Premium,Asia,Hong Kong,Clothing,T-Shirt,260.87,3,782.62,0.1,78.26,774.8,Mobile App,Digital Wallet,2022,6,2
2022-04-19,CUST_6297,VIP,Asia,Singapore,Clothing,Shoes,107.46,3,322.37,0.15,48.35,274.01,Mobile App,Digital Wallet,2022,4,2
2022-11-30,CUST_3779,Budget,North America,Los Angeles,Electronics,Smartphone,1033.4,12,12400.82,0.1,1240.08,14508.96,In-Store,Debit Card,2022,11,4
2023-08-06,CUST_5525,Regular,North America,Toronto,Electronics,Headphones,1399.53,4,5598.14,0.1,559.81,5542.16,Phone,Digital Wallet,2023,8,3
2022-05-08,CUST_9609,Premium,Australia,Sydney,Beauty,Haircare,106.97,2,213.93,0.0,0.0,213.93,Online,Credit Card,2022,5,2
2024-06-23,CUST_2399,Budget,Australia,Melbourne,Beauty,Skincare,23.11,9,208.01,0.1,20.8,205.93,In-Store,Credit Card,2024,6,2
2022-12-16,CUST_9431,Budget,North America,Toronto,Home & Garden,Garden Tools,160.8,12,1929.58,0.1,192.96,2257.61,Online,Bank Transfer,2022,12,4
2023-11-23,CUST_4577,Budget,North America,Vancouver,Automotive,Tools,239.98,6,1439.89,0.1,143.99,1684.67,In-Store,Digital Wallet,2023,11,4
2024-03-13,CUST_2103,Budget,Europe,Rome,Beauty,Skincare,103.16,15,1547.39,0.1,154.74,1392.65,Mobile App,Digital Wallet,2024,3,1
2023-10-17,CUST_1975,VIP,North America,Chicago,Clothing,Shoes,237.57,5,1187.85,0.15,178.18,1009.67,Mobile App,Debit Card,2023,10,4
2023-09-15,CUST_5638,Premium,North America,Vancouver,Home & Garden,Kitchen Appliances,509.11,1,509.11,0.0,0.0,509.11,In-Store,Bank Transfer,2023,9,3
2023-07-08,CUST_9408,Premium,North America,Chicago,Clothing,Dress,232.79,2,465.58,0.0,0.0,512.14,Mobile App,Digital Wallet,2023,7,3
2023-01-24,CUST_3658,Budget,Europe,Madrid,Clothing,Dress,33.38,3,100.15,0.1,10.02,90.14,Online,Credit Card,2023,1,1
2024-07-11,CUST_9244,Budget,Europe,London,Books,Fiction,26.65,12,319.82,0.1,31.98,316.62,Phone,Digital Wallet,2024,7,3
2024-01-16,CUST_3041,Regular,North America,Vancouver,Books,Biography,28.53,10,285.34,0.1,28.53,256.81,In-Store,Digital Wallet,2024,1,1
2024-07-25,CUST_3027,Budget,North America,Toronto,Beauty,Bath Products,100.9,15,1513.47,0.1,151.35,1498.33,Mobile App,Debit Card,2024,7,3
2022-11-03,CUST_6155,Premium,North America,New York,Clothing,Jacket,81.49,5,407.43,0.1,40.74,476.69,In-Store,Debit Card,2022,11,4
2022-07-29,CUST_1202,Budget,Europe,Paris,Beauty,Perfume,27.8,9,250.17,0.1,25.02,247.67,In-Store,Debit Card,2022,7,3
2023-05-31,CUST_1164,Premium,Australia,Perth,Automotive,Accessories,1000.14,2,2000.28,0.0,0.0,2000.28,In-Store,Cash,2023,5,2
2023-05-21,CUST_8343,VIP,Europe,Rome,Books,Non-Fiction,55.28,1,55.28,0.05,2.76,52.52,Phone,Digital Wallet,2023,5,2
2022-03-02,CUST_7473,VIP,Europe,Rome,Books,Non-Fiction,71.18,4,284.73,0.15,42.71,242.02,Phone,Cash,2022,3,1
2022-04-17,CUST_3924,Premium,Europe,London,Toys,Educational Toys,83.86,3,251.58,0.1,25.16,226.42,Mobile App,Credit Card,2022,4,2
2022-02-11,CUST_9078,Premium,North America,Chicago,Sports,Tennis Racket,52.56,5,262.81,0.1,26.28,236.53,In-Store,Cash,2022,2,1
2024-08-04,CUST_8157,VIP,Asia,Singapore,Home & Garden,Garden Tools,411.72,1,411.72,0.05,20.59,430.25,In-Store,Bank Transfer,2024,8,3
2022-12-31,CUST_2694,Budget,Europe,Rome,Toys,Educational Toys,53.16,6,318.97,0.1,31.9,373.2,In-Store,Bank Transfer,2022,12,4
2023-01-26,CUST_1650,VIP,Europe,Madrid,Automotive,Accessories,1128.75,4,4515.0,0.15,677.25,3837.75,Mobile App,Debit Card,2023,1,1
2023-04-21,CUST_2321,Budget,Europe,London,Beauty,Perfume,65.2,3,195.59,0.1,19.56,176.03,Phone,Bank Transfer,2023,4,2
2023-01-19,CUST_1934,Regular,Europe,Berlin,Clothing,Sweater,76.24,8,609.94,0.1,60.99,548.95,Mobile App,Credit Card,2023,1,1
2024-08-19,CUST_5874,Premium,Australia,Brisbane,Electronics,Headphones,2252.68,5,11263.39,0.1,1126.34,11150.76,Mobile App,Bank Transfer,2024,8,3
2024-03-29,CUST_3052,VIP,Australia,Perth,Sports,Yoga Mat,440.35,4,1761.39,0.15,264.21,1497.19,Online,Debit Card,2024,3,1
2022-01-24,CUST_5553,Budget,Asia,Tokyo,Beauty,Bath Products,62.71,9,564.35,0.1,56.44,507.92,In-Store,Debit Card,2022,1,1
2024-01-30,CUST_2102,Regular,North America,Los Angeles,Beauty,Haircare,110.58,6,663.47,0.1,66.35,597.12,Mobile App,Cash,2024,1,1
2022-07-17,CUST_9157,Premium,Asia,Tokyo,Automotive,Accessories,184.98,4,739.91,0.1,73.99,732.51,Mobile App,Cash,2022,7,3
2022-08-08,CUST_6491,Budget,Europe,Madrid,Sports,Running Shoes,159.75,3,479.25,0.1,47.93,474.46,Online,Cash,2022,8,3
2022-05-13,CUST_7878,Regular,Australia,Melbourne,Toys,Action Figures,38.98,4,155.92,0.1,15.59,140.33,Phone,Bank Transfer,2022,5,2
2024-08-12,CUST_2835,Regular,Europe,Paris,Electronics,Smartwatch,1339.94,10,13399.42,0.1,1339.94,13265.42,In-Store,Bank Transfer,2024,8,3
2022-06-14,CUST_3277,Budget,Europe,Berlin,Toys,Board Games,51.79,9,466.07,0.1,46.61,461.41,Online,Credit Card,2022,6,2
2022-11-27,CUST_2152,VIP,Australia,Melbourne,Toys,Puzzles,182.58,2,365.17,0.05,18.26,450.98,Online,Cash,2022,11,4
2023-02-26,CUST_1882,VIP,North America,Vancouver,Sports,Basketball,147.47,2,294.93,0.05,14.75,280.19,Phone,Cash,2023,2,1
2023-06-16,CUST_4988,Premium,Europe,Rome,Electronics,Laptop,1675.46,1,1675.46,0.0,0.0,1843.01,Phone,Cash,2023,6,2
2024-02-02,CUST_5989,Regular,North America,New York,Clothing,Sweater,32.19,4,128.76,0.1,12.88,115.88,Online,Cash,2024,2,1
2022-02-18,CUST_7956,Budget,North America,Los Angeles,Clothing,Shoes,136.54,3,409.61,0.1,40.96,368.65,Phone,Bank Transfer,2022,2,1
2024-07-01,CUST_4434,VIP,North America,Chicago,Sports,Tennis Racket,525.41,1,525.41,0.05,26.27,549.06,In-Store,Credit Card,2024,7,3
2023-07-28,CUST_6004,Regular,Australia,Brisbane,Sports,Yoga Mat,225.54,6,1353.26,0.1,135.33,1339.73,In-Store,Credit Card,2023,7,3
2022-03-30,CUST_1031,Premium,North America,New York,Automotive,Tools,547.21,4,2188.84,0.1,218.88,1969.95,Online,Credit Card,2022,3,1
2023-08-22,CUST_5971,Budget,North America,Los Angeles,Clothing,Jeans,60.16,12,721.98,0.1,72.2,714.76,In-Store,Credit Card,2023,8,3
2024-08-25,CUST_3137,Budget,Europe,Rome,Home & Garden,Kitchen Appliances,168.33,12,2019.94,0.1,201.99,1999.74,Online,Digital Wallet,2024,8,3
2024-02-13,CUST_8175,VIP,Australia,Adelaide,Clothing,Sweater,216.8,4,867.19,0.15,130.08,737.11,Mobile App,Credit Card,2024,2,1
2023-03-22,CUST_9733,Regular,North America,Los Angeles,Toys,Educational Toys,68.52,2,137.04,0.0,0.0,137.04,In-Store,Bank Transfer,2023,3,1
2024-07-23,CUST_6918,VIP,Asia,Bangkok,Home & Garden,Furniture,302.34,3,907.03,0.15,136.05,848.07,Online,Bank Transfer,2024,7,3
2023-06-02,CUST_4659,Premium,Australia,Adelaide,Beauty,Haircare,153.15,4,612.61,0.1,61.26,606.49,Mobile App,Credit Card,2023,6,2
2022-03-04,CUST_6698,Premium,Australia,Brisbane,Toys,Outdoor Toys,59.76,1,59.76,0.0,0.0,59.76,Phone,Cash,2022,3,1
2024-11-10,CUST_6329,Premium,Europe,Rome,Beauty,Bath Products,177.86,5,889.32,0.1,88.93,1040.51,In-Store,Digital Wallet,2024,11,4
2022-10-15,CUST_3993,Regular,Asia,Seoul,Electronics,Tablet,1580.97,10,15809.73,0.1,1580.97,14228.76,Phone,Credit Card,2022,10,4
2023-10-10,CUST_1138,Budget,Australia,Melbourne,Books,Fiction,30.73,12,368.74,0.1,36.87,331.87,In-Store,Credit Card,2023,10,4
2024-08-16,CUST_6882,Budget,Europe,Madrid,Clothing,Dress,37.42,9,336.82,0.1,33.68,333.46,Mobile App,Cash,2024,8,3
2023-03-25,CUST_7769,VIP,Asia,Tokyo,Beauty,Haircare,234.89,5,1174.44,0.15,176.17,998.27,Phone,Digital Wallet,2023,3,1
2024-10-27,CUST_1149,Premium,North America,New York,Home & Garden,Kitchen Appliances,382.48,2,764.97,0.0,0.0,764.97,Mobile App,Credit Card,2024,10,4
2023-09-28,CUST_7013,Budget,North America,Los Angeles,Toys,Board Games,36.54,12,438.5,0.1,43.85,394.65,Phone,Bank Transfer,2023,9,3
2022-02-01,CUST_9549,VIP,North America,Chicago,Books,Fiction,52.71,1,52.71,0.05,2.64,50.07,Phone,Cash,2022,2,1
2023-07-14,CUST_1971,Budget,Europe,Berlin,Home & Garden,Lighting,294.47,12,3533.68,0.1,353.37,3498.35,Mobile App,Bank Transfer,2023,7,3
2024-04-28,CUST_1225,Premium,North America,New York,Toys,Board Games,90.25,4,361.0,0.1,36.1,324.9,In-Store,Debit Card,2024,4,2
2022-11-18,CUST_8595,Budget,North America,Chicago,Beauty,Perfume,31.68,3,95.04,0.1,9.5,111.2,In-Store,Debit Card,2022,11,4
2023-09-23,CUST_5272,Premium,Australia,Brisbane,Automotive,Maintenance,1168.93,1,1168.93,0.0,0.0,1168.93,In-Store,Bank Transfer,2023,9,3
2022-07-27,CUST_5646,VIP,Europe,Berlin,Toys,Educational Toys,174.64,2,349.27,0.05,17.46,364.99,Phone,Credit Card,2022,7,3
2023-08-02,CUST_5015,Premium,Europe,London,Clothing,T-Shirt,168.15,3,504.44,0.1,50.44,499.4,In-Store,Debit Card,2023,8,3
2022-06-21,CUST_3720,Premium,Australia,Brisbane,Books,Educational,45.61,1,45.61,0.0,0.0,50.17,Phone,Cash,2022,6,2
2022-06-15,CUST_5436,Budget,North America,Los Angeles,Toys,Board Games,27.55,12,330.65,0.1,33.06,327.34,In-Store,Debit Card,2022,6,2
2023-12-27,CUST_6164,Budget,Asia,Tokyo,Automotive,Maintenance,202.29,6,1213.74,0.1,121.37,1420.08,Online,Debit Card,2023,12,4
2023-02-25,CUST_1442,Premium,Asia,Seoul,Clothing,T-Shirt,201.99,1,201.99,0.0,0.0,201.99,In-Store,Credit Card,2023,2,1
2024-02-16,CUST_1864,VIP,North America,Los Angeles,Electronics,Headphones,2738.61,2,5477.23,0.05,273.86,5203.37,Online,Cash,2024,2,1
2022-09-21,CUST_8171,Regular,Asia,Seoul,Home & Garden,Furniture,341.03,8,2728.22,0.1,272.82,2455.4,In-Store,Cash,2022,9,3
2023-02-14,CUST_2780,VIP,Europe,Berlin,Books,Children,29.59,4,118.37,0.15,17.76,100.62,Mobile App,Bank Transfer,2023,2,1
2023-09-30,CUST_6154,Premium,Europe,Madrid,Books,Children,47.04,3,141.11,0.1,14.11,127.0,In-Store,Digital Wallet,2023,9,3
2023-10-11,CUST_5418,Budget,Europe,Rome,Home & Garden,Lighting,53.91,3,161.72,0.1,16.17,145.55,Mobile App,Credit Card,2023,10,4
2023-01-10,CUST_9375,Budget,Europe,Berlin,Sports,Tennis Racket,133.11,9,1197.97,0.1,119.8,1078.17,Online,Debit Card,2023,1,1
2023-11-14,CUST_6179,Premium,North America,Chicago,Home & Garden,Decor,700.09,4,2800.35,0.1,280.04,3276.42,Online,Digital Wallet,2023,11,4
2024-11-07,CUST_3154,Budget,Australia,Melbourne,Clothing,Jacket,46.67,9,419.99,0.1,42.0,491.38,Mobile App,Debit Card,2024,11,4
2023-07-29,CUST_7398,Budget,Australia,Perth,Toys,Educational Toys,29.98,9,269.78,0.1,26.98,267.08,Mobile App,Bank Transfer,2023,7,3
2023-05-18,CUST_7332,Premium,Australia,Brisbane,Electronics,Tablet,431.78,1,431.78,0.0,0.0,431.78,In-Store,Digital Wallet,2023,5,2
2023-09-02,CUST_8579,Budget,Australia,Brisbane,Automotive,Accessories,575.47,12,6905.59,0.1,690.56,6215.03,In-Store,Bank Transfer,2023,9,3
2023-12-22,CUST_5164,Premium,Australia,Sydney,Books,Children,23.38,1,23.38,0.0,0.0,30.4,Online,Digital Wallet,2023,12,4
2022-11-18,CUST_1990,VIP,Asia,Singapore,Beauty,Haircare,41.75,4,167.01,0.15,25.05,184.54,In-Store,Debit Card,2022,11,4
2023-06-02,CUST_6907,Regular,Australia,Adelaide,Toys,Board Games,51.77,4,207.08,0.1,20.71,205.01,Online,Digital Wallet,2023,6,2
2023-08-31,CUST_4786,Regular,Australia,Sydney,Sports,Basketball,65.56,2,131.12,0.0,0.0,144.23,Mobile App,Debit Card,2023,8,3
2024-11-07,CUST_8002,Budget,Europe,Madrid,Books,Educational,11.35,6,68.09,0.1,6.81,79.66,Online,Digital Wallet,2024,11,4
2023-06-26,CUST_8477,Budget,Asia,Seoul,Automotive,Tools,518.09,9,4662.81,0.1,466.28,4616.18,Online,Debit Card,2023,6,2
2024-07-07,CUST_9668,Regular,Australia,Brisbane,Sports,Basketball,148.65,2,297.3,0.0,0.0,327.03,In-Store,Debit Card,2024,7,3
2022-10-25,CUST_8795,Regular,Europe,Paris,Books,Fiction,25.77,4,103.06,0.1,10.31,92.76,Phone,Credit Card,2022,10,4
2024-08-03,CUST_6510,Premium,North America,Chicago,Automotive,Tools,525.52,4,2102.09,0.1,210.21,2081.07,Mobile App,Credit Card,2024,8,3
2022-06-15,CUST_6737,Premium,Australia,Melbourne,Home & Garden,Decor,720.98,1,720.98,0.0,0.0,793.07,Online,Debit Card,2022,6,2
2022-09-26,CUST_9616,Budget,Australia,Brisbane,Home & Garden,Furniture,220.11,6,1320.68,0.1,132.07,1188.61,In-Store,Digital Wallet,2022,9,3
2024-05-10,CUST_5341,Regular,Asia,Singapore,Toys,Educational Toys,70.0,6,419.98,0.1,42.0,377.98,In-Store,Debit Card,2024,5,2
2024-07-24,CUST_4065,Regular,Australia,Adelaide,Sports,Tennis Racket,194.14,10,1941.36,0.1,194.14,1921.95,Online,Cash,2024,7,3
2022-09-03,CUST_2109,Premium,Europe,Madrid,Electronics,Laptop,1622.24,2,3244.47,0.0,0.0,3244.47,Mobile App,Debit Card,2022,9,3
2023-05-30,CUST_6917,Regular,Australia,Brisbane,Automotive,Electronics,887.13,2,1774.26,0.0,0.0,1774.26,Mobile App,Digital Wallet,2023,5,2
2023-05-25,CUST_4187,Premium,Asia,Singapore,Clothing,T-Shirt,181.29,5,906.43,0.1,90.64,815.78,Online,Bank Transfer,2023,5,2
2024-07-17,CUST_8652,VIP,Asia,Tokyo,Sports,Basketball,396.26,2,792.51,0.05,39.63,828.18,Phone,Debit Card,2024,7,3
2022-08-04,CUST_9473,Budget,Australia,Melbourne,Home & Garden,Decor,331.52,9,2983.7,0.1,298.37,2953.87,Mobile App,Credit Card,2022,8,3
2022-11-24,CUST_1004,Regular,North America,Vancouver,Toys,Puzzles,52.96,2,105.92,0.0,0.0,137.69,Online,Digital Wallet,2022,11,4
2022-11-05,CUST_9559,Regular,Australia,Sydney,Home & Garden,Furniture,474.7,2,949.39,0.0,0.0,1234.21,Mobile App,Cash,2022,11,4
2023-01-04,CUST_4843,VIP,Asia,Bangkok,Sports,Gym Equipment,477.11,2,954.22,0.05,47.71,906.51,In-Store,Credit Card,2023,1,1
2023-11-03,CUST_1484,Budget,North America,Toronto,Toys,Puzzles,38.95,15,584.2,0.1,58.42,683.52,In-Store,Debit Card,2023,11,4
2023-02-07,CUST_2098,Premium,North America,Toronto,Electronics,Camera,2692.17,3,8076.51,0.1,807.65,7268.86,Phone,Cash,2023,2,1
2022-01-25,CUST_9949,Premium,North America,Los Angeles,Home & Garden,Garden Tools,106.78,5,533.89,0.1,53.39,480.5,Phone,Digital Wallet,2022,1,1
2023-12-17,CUST_6550,Budget,Asia,Bangkok,Toys,Puzzles,67.17,3,201.51,0.1,20.15,235.77,Online,Cash,2023,12,4
2023-11-18,CUST_5772,Regular,Australia,Melbourne,Electronics,Tablet,903.49,10,9034.88,0.1,903.49,10570.81,Phone,Debit Card,2023,11,4
2024-07-01,CUST_5719,Premium,Australia,Brisbane,Home & Garden,Decor,439.62,1,439.62,0.0,0.0,483.58,In-Store,Credit Card,2024,7,3
2023-09-24,CUST_7575,Premium,Asia,Seoul,Sports,Gym Equipment,321.2,3,963.6,0.1,96.36,867.24,In-Store,Credit Card,2023,9,3
2024-09-24,CUST_2746,Regular,Europe,Berlin,Automotive,Tools,872.48,6,5234.9,0.1,523.49,4711.41,Phone,Digital Wallet,2024,9,3
2024-07-08,CUST_9731,VIP,Australia,Adelaide,Books,Fiction,65.09,3,195.27,0.15,29.29,182.58,Mobile App,Digital Wallet,2024,7,3
2023-07-09,CUST_8025,VIP,North America,Toronto,Clothing,T-Shirt,204.78,2,409.57,0.05,20.48,428.0,Mobile App,Credit Card,2023,7,3
2024-10-29,CUST_4549,VIP,Europe,Rome,Toys,Outdoor Toys,126.08,3,378.23,0.15,56.73,321.49,Phone,Digital Wallet,2024,10,4
2022-04-18,CUST_8064,Regular,Asia,Bangkok,Clothing,Jeans,178.19,2,356.37,0.0,0.0,356.37,Mobile App,Cash,2022,4,2
2024-12-04,CUST_5796,Premium,Europe,Madrid,Home & Garden,Garden Tools,257.52,1,257.52,0.0,0.0,334.78,Online,Digital Wallet,2024,12,4
2023-02-16,CUST_3923,VIP,North America,Vancouver,Automotive,Tools,871.89,5,4359.43,0.15,653.91,3705.51,Phone,Bank Transfer,2023,2,1
2022-10-13,CUST_2930,Regular,Europe,Madrid,Electronics,Smartphone,1935.02,8,15480.16,0.1,1548.02,13932.14,In-Store,Cash,2022,10,4
2024-03-08,CUST_6593,Regular,North America,Los Angeles,Toys,Action Figures,20.39,10,203.89,0.1,20.39,183.5,Phone,Bank Transfer,2024,3,1
2023-12-16,CUST_7236,Budget,Europe,Paris,Clothing,Dress,36.89,12,442.62,0.1,44.26,517.87,Online,Credit Card,2023,12,4
2022-01-02,CUST_1505,Premium,Europe,Madrid,Beauty,Perfume,163.8,2,327.6,0.0,0.0,327.6,In-Store,Cash,2022,1,1
2022-05-30,CUST_8105,Regular,Asia,Singapore,Sports,Running Shoes,188.84,6,1133.06,0.1,113.31,1019.75,Mobile App,Bank Transfer,2022,5,2
2024-06-27,CUST_5462,VIP,Australia,Sydney,Toys,Board Games,47.04,4,188.15,0.15,28.22,175.92,Phone,Credit Card,2024,6,2
2023-07-24,CUST_2299,Premium,Australia,Sydney,Sports,Tennis Racket,362.49,5,1812.47,0.1,181.25,1794.34,Phone,Cash,2023,7,3
2023-08-05,CUST_8154,VIP,Australia,Sydney,Sports,Running Shoes,188.72,4,754.86,0.15,113.23,705.8,In-Store,Credit Card,2023,8,3
2024-01-03,CUST_9218,Budget,Asia,Tokyo,Toys,Educational Toys,28.28,9,254.5,0.1,25.45,229.05,Phone,Digital Wallet,2024,1,1
2022-09-07,CUST_9288,Premium,Australia,Brisbane,Home & Garden,Garden Tools,259.99,4,1039.95,0.1,103.99,935.95,Mobile App,Debit Card,2022,9,3
2022-05-11,CUST_3818,VIP,Australia,Melbourne,Books,Fiction,36.58,3,109.74,0.15,16.46,93.28,Online,Debit Card,2022,5,2
2022-10-07,CUST_1234,Budget,Europe,London,Sports,Tennis Racket,127.44,3,382.33,0.1,38.23,344.09,Phone,Credit Card,2022,10,4
2023-03-10,CUST_7879,Budget,Asia,Seoul,Home & Garden,Furniture,325.74,9,2931.69,0.1,293.17,2638.52,Phone,Digital Wallet,2023,3,1
2022-05-26,CUST_6171,VIP,North America,Toronto,Beauty,Haircare,135.46,3,406.38,0.15,60.96,345.42,Phone,Bank Transfer,2022,5,2
2023-04-18,CUST_9053,Budget,Australia,Brisbane,Clothing,T-Shirt,69.46,12,833.54,0.1,83.35,750.18,Phone,Digital Wallet,2023,4,2
2024-02-02,CUST_1767,Budget,Australia,Perth,Toys,Educational Toys,40.92,12,491.0,0.1,49.1,441.9,Mobile App,Debit Card,2024,2,1
2022-01-18,CUST_2156,Budget,Australia,Brisbane,Beauty,Makeup,93.7,6,562.22,0.1,56.22,506.0,Phone,Cash,2022,1,1
2022-05-08,CUST_8989,Regular,Australia,Adelaide,Books,Biography,33.73,10,337.31,0.1,33.73,303.58,In-Store,Digital Wallet,2022,5,2
2024-01-09,CUST_6927,Regular,Asia,Singapore,Books,Children,10.2,2,20.4,0.0,0.0,20.4,Online,Digital Wallet,2024,1,1
2022-12-15,CUST_3288,Premium,Australia,Brisbane,Toys,Action Figures,37.4,4,149.62,0.1,14.96,175.05,Mobile App,Digital Wallet,2022,12,4
2024-06-03,CUST_5209,Regular,North America,Los Angeles,Sports,Gym Equipment,246.03,2,492.05,0.0,0.0,541.26,In-Store,Credit Card,2024,6,2
2023-02-02,CUST_2294,Regular,Europe,Rome,Clothing,Jacket,63.53,2,127.05,0.0,0.0,127.05,Online,Credit Card,2023,2,1
2024-11-07,CUST_6298,Budget,North America,Toronto,Books,Children,14.04,15,210.67,0.1,21.07,246.48,Mobile App,Bank Transfer,2024,11,4
2024-10-17,CUST_2709,Budget,Europe,Berlin,Beauty,Haircare,25.0,12,300.05,0.1,30.0,270.04,Mobile App,Credit Card,2024,10,4
2023-07-21,CUST_4459,Budget,Australia,Brisbane,Sports,Running Shoes,106.96,15,1604.42,0.1,160.44,1588.38,Mobile App,Credit Card,2023,7,3
2024-07-16,CUST_7950,Regular,Australia,Sydney,Sports,Gym Equipment,118.61,8,948.87,0.1,94.89,939.38,Phone,Debit Card,2024,7,3
2023-02-21,CUST_3307,Premium,Australia,Brisbane,Beauty,Bath Products,116.45,5,582.27,0.1,58.23,524.05,Mobile App,Digital Wallet,2023,2,1
2022-04-05,CUST_6022,Regular,North America,Toronto,Clothing,Jacket,67.47,8,539.78,0.1,53.98,485.8,Phone,Digital Wallet,2022,4,2
2022-12-11,CUST_2915,VIP,Asia,Singapore,Sports,Running Shoes,343.61,3,1030.84,0.15,154.63,1139.08,Phone,Bank Transfer,2022,12,4
2024-07-26,CUST_3148,Premium,Australia,Adelaide,Sports,Running Shoes,81.63,1,81.63,0.0,0.0,89.8,Phone,Credit Card,2024,7,3
2022-04-30,CUST_3034,VIP,North America,Los Angeles,Beauty,Makeup,72.89,2,145.78,0.05,7.29,138.49,Mobile App,Credit Card,2022,4,2
2022-03-26,CUST_7833,Budget,Australia,Melbourne,Books,Educational,29.83,9,268.51,0.1,26.85,241.66,In-Store,Debit Card,2022,3,1
2022-03-15,CUST_4475,VIP,Asia,Hong Kong,Clothing,Shoes,118.14,2,236.29,0.05,11.81,224.47,Mobile App,Credit Card,2022,3,1
2024-12-04,CUST_9822,VIP,Europe,Paris,Home & Garden,Garden Tools,215.4,2,430.81,0.05,21.54,532.05,Online,Cash,2024,12,4
2022-01-30,CUST_9635,Budget,Australia,Brisbane,Sports,Basketball,199.49,15,2992.37,0.1,299.24,2693.14,Mobile App,Credit Card,2022,1,1
2023-07-15,CUST_1807,Budget,Europe,Berlin,Home & Garden,Furniture,94.73,9,852.59,0.1,85.26,844.07,Phone,Cash,2023,7,3
2024-01-26,CUST_8628,Regular,Europe,Paris,Electronics,Smartwatch,1127.88,10,11278.84,0.1,1127.88,10150.96,Online,Debit Card,2024,1,1
2023-06-27,CUST_1197,Premium,Asia,Singapore,Books,Fiction,16.44,5,82.21,0.1,8.22,81.39,Phone,Digital Wallet,2023,6,2
2022-07-17,CUST_8777,Regular,Asia,Singapore,Home & Garden,Kitchen Appliances,390.42,8,3123.37,0.1,312.34,3092.13,In-Store,Digital Wallet,2022,7,3
2024-06-12,CUST_8271,VIP,Asia,Hong Kong,Beauty,Haircare,47.52,2,95.03,0.05,4.75,99.31,Mobile App,Digital Wallet,2024,6,2
2023-04-07,CUST_3944,Premium,Asia,Bangkok,Beauty,Haircare,80.84,1,80.84,0.0,0.0,80.84,Phone,Digital Wallet,2023,4,2
2024-05-26,CUST_3089,Regular,Europe,Rome,Clothing,Dress,163.75,10,1637.55,0.1,163.75,1473.79,Mobile App,Debit Card,2024,5,2
